DATE,EPOCHDATE,TYPE,TITLE,EDGARURL,EXHIBITS_8-K,EXHIBITS_EX-99.1,EXHIBITS_EXCEL,MAXAGE,EXHIBITS_8-K/A,EXHIBITS_DEFA14A,EXHIBITS_EX-10.2,EXHIBITS_EX-31.1,EXHIBITS_EX-31.2,EXHIBITS_EX-32.1,EXHIBITS_EX-32.2,EXHIBITS_10-Q,EXHIBITS_SD,EXHIBITS_EX-1.01,EXHIBITS_EX-1.1,EXHIBITS_EX-5.1,EXHIBITS_EX-10.1,EXHIBITS_10-K/A,EXHIBITS_EX-21.1,EXHIBITS_EX-23.1,EXHIBITS_EX-97.1,EXHIBITS_10-K,EXHIBITS_CORRESP,EXHIBITS_SC 13D/A,EXHIBITS_DEF 14A,EXHIBITS_EX-10.14,EXHIBITS_EX-10.15,EXHIBITS_SC 13G/A,EXHIBITS_S-8,EXHIBITS_EX-FILING FEES,EXHIBITS_EX-3.1,EXHIBITS_PRE 14A,EXHIBITS_EX-99.A,EXHIBITS_EX-99.B
2024-04-30,1714435200,DEFA14A,Proxy Statements,https://finance.yahoo.com/sec-filing/GME/0001193125-24-125072_1326380,,,,1,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312524125072/d786757ddefa14a.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04,1712188800,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000018_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000018/gme-20240404.htm,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000018/Financial_Report.xlsx,1,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000018/separationagreement.htm,,,,,,,,,,,,,,,,,
2024-03-27,1711497600,10-K/A,Periodic Financial Reports,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000016_1326380,,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000016/Financial_Report.xlsx,1,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000016/ex311-fy2310xka.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000016/ex312-fy2310xka.htm,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000016/gme-20240203.htm,,,,,,,,,,,,,,,,
2024-03-26,1711411200,10-K,Periodic Financial Reports,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000012_1326380,,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000012/Financial_Report.xlsx,1,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex311-fy23q4.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex312-fy23q4.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex321-fy23q4.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex322-fy23q4.htm,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex211-fy23q4.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex231-fy23q4.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/ex971-fy23q4.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000012/gme-20240203.htm,,,,,,,,,,,,
2024-01-26,1706227200,SC 13G/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0001086364-24-004581_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-06,1701820800,10-Q,Periodic Financial Reports,https://finance.yahoo.com/sec-filing/GME/0001326380-23-000063_1326380,,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638023000063/Financial_Report.xlsx,1,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000063/ex311-fy23q3.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000063/ex312-fy23q3.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000063/ex321-fy23q3.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000063/ex322-fy23q3.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000063/gme-20231028.htm,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,1695859200,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-23-000056_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000056/gme-20230927.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000056/a991-ceoannouncement.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638023000056/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-18,1694995200,CORRESP,A correspondence can be sent as a document with another submission type or can be sent as a separate submission,https://finance.yahoo.com/sec-filing/GME/0001326380-23-000052_1326380,,,,1,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000052/filename1.htm,,,,,,,,,,,
2023-09-06,1693958400,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-23-000045_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000045/gme-20230906.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000045/a991-q2fy23earningsrelease.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638023000045/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-27,1690416000,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-23-000040_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000040/gme-20230721.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638023000040/a991-cforesignation.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638023000040/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
