SETTLEMENT_DATE,CUSIP,SYMBOL,QUANTITY_FAILS,DESCRIPTION,PRICE
20160128,78464A714,XRT,9710.0,SPDR SERIES TR SPDR S&P RETAIL,39.94
20160128,808524763,FNDA,79836.0,SCHWAB FUNDAMENTAL U S SMALL C,25.25
20160128,922908611,VBR,58110.0,VANGUARD SMALL-CAP VALUE ETF,89.35
20160128,922908652,VXF,3763.0,VANGUARD EXTENDED MARKET ETF,74.39
20160128,922908769,VTI,1332.0,VANGUARD TOTAL STOCK MARKET ET,95.57
20160129,36467W109,GME,22135.0,GAMESTOP CORP (HLDG CO) CL A,25.71
20160129,464287507,IJH,3422.0,ISHARES CORE S&P MID-CAP ETF,127.46
20160129,464287622,IWB,17745.0,ISHARES RUSSELL 1000 INDEX ETF,104.53
20160129,464287655,IWM,57273.0,ISHARES RUSSELL 2000 ETF,99.71
20160129,78464A714,XRT,76503.0,SPDR SERIES TR SPDR S&P RETAIL,39.93
20160129,808524763,FNDA,117167.0,SCHWAB FUNDAMENTAL U S SMALL C,25.26
20160129,922908611,VBR,109779.0,VANGUARD SMALL-CAP VALUE ETF,89.62
20160129,922908652,VXF,2477.0,VANGUARD EXTENDED MARKET ETF,74.16
20160129,922908769,VTI,16029.0,VANGUARD TOTAL STOCK MARKET ET,95.95
20160201,36467W109,GME,3248.0,GAMESTOP CORP (HLDG CO) CL A,26.21
20160201,464287507,IJH,973.0,ISHARES CORE S&P MID-CAP ETF,131.53
20160201,464287655,IWM,25370.0,ISHARES RUSSELL 2000 ETF,102.91
20160201,78464A714,XRT,766.0,SPDR SERIES TR SPDR S&P RETAIL,41.04
20160201,808524763,FNDA,183771.0,SCHWAB FUNDAMENTAL U S SMALL C,26.01
20160201,922908611,VBR,800.0,VANGUARD SMALL-CAP VALUE ETF,92.46
20160201,922908652,VXF,39246.0,VANGUARD EXTENDED MARKET ETF,76.50
20160201,922908769,VTI,5071.0,VANGUARD TOTAL STOCK MARKET ET,98.33
20160202,36467W109,GME,1714.0,GAMESTOP CORP (HLDG CO) CL A,26.81
20160202,464287622,IWB,315.0,ISHARES RUSSELL 1000 INDEX ETF,107.18
20160202,464287655,IWM,16875.0,ISHARES RUSSELL 2000 ETF,102.41
20160202,78464A714,XRT,306788.0,SPDR SERIES TR SPDR S&P RETAIL,41.25
20160202,808524763,FNDA,180514.0,SCHWAB FUNDAMENTAL U S SMALL C,26.02
20160202,922908611,VBR,5664.0,VANGUARD SMALL-CAP VALUE ETF,92.33
20160202,922908652,VXF,97121.0,VANGUARD EXTENDED MARKET ETF,76.45
20160202,922908769,VTI,1423.0,VANGUARD TOTAL STOCK MARKET ET,98.35
20160203,36467W109,GME,3045.0,GAMESTOP CORP (HLDG CO) CL A,25.92
20160203,464287507,IJH,4670.0,ISHARES CORE S&P MID-CAP ETF,128.62
20160203,464287622,IWB,429074.0,ISHARES RUSSELL 1000 INDEX ETF,105.18
20160203,464287655,IWM,15437.0,ISHARES RUSSELL 2000 ETF,100.25
20160203,78464A714,XRT,149512.0,SPDR SERIES TR SPDR S&P RETAIL,40.43
20160203,808524763,FNDA,55192.0,SCHWAB FUNDAMENTAL U S SMALL C,25.43
20160203,922908611,VBR,33596.0,VANGUARD SMALL-CAP VALUE ETF,90.41
20160203,922908652,VXF,66287.0,VANGUARD EXTENDED MARKET ETF,74.66
20160204,464287622,IWB,92089.0,ISHARES RUSSELL 1000 INDEX ETF,105.76
20160204,464287655,IWM,423120.0,ISHARES RUSSELL 2000 ETF,100.41
20160204,78464A714,XRT,400247.0,SPDR SERIES TR SPDR S&P RETAIL,40.17
20160204,808524763,FNDA,80765.0,SCHWAB FUNDAMENTAL U S SMALL C,25.54
20160204,922908611,VBR,150.0,VANGUARD SMALL-CAP VALUE ETF,91.07
20160204,922908652,VXF,134189.0,VANGUARD EXTENDED MARKET ETF,74.96
20160204,922908769,VTI,5097.0,VANGUARD TOTAL STOCK MARKET ET,97.03
20160205,36467W109,GME,133.0,GAMESTOP CORP (HLDG CO) CL A,27.01
20160205,464287507,IJH,706.0,ISHARES CORE S&P MID-CAP ETF,130.45
20160205,464287622,IWB,3343.0,ISHARES RUSSELL 1000 INDEX ETF,106.00
20160205,78464A714,XRT,49059.0,SPDR SERIES TR SPDR S&P RETAIL,40.17
